tracker	detector	nn	learner	sum
3	88	7	2	100
3	89	7	2	101
2	87	7	3	99
3	88	5	0	96
1	90	4	2	97
2	85	7	1	95
2	86	6	2	96
3	88	7	1	99
3	88	7	2	100
2	88	5	2	97
3	85	7	2	97
2	91	7	2	102
2	87	7	2	98
3	88	8	2	101
3	87	7	2	99
2	88	6	1	97
2	93	7	1	103
2	90	6	1	99
3	90	5	2	100
5	89	6	2	102
2	85	6	2	95
2	87	7	1	97
2	89	6	2	99
2	89	6	2	99
2	90	5	2	99
2	87	6	2	97
2	91	6	2	101
2	91	7	1	101
3	86	6	2	97
3	88	6	3	100
3	89	5	1	98
3	86	6	1	96
3	88	5	2	98
2	86	5	1	94
2	89	5	3	99
3	91	3	2	99
3	85	4	2	94
2	86	4	1	93
2	86	5	2	95
2	89	5	2	98
2	87	4	3	96
3	88	4	2	97
2	87	4	2	95
2	88	5	4	99
3	88	6	1	98
3	87	4	3	97
3	89	6	1	99
2	88	5	3	98
3	86	4	0	93
3	91	4	2	100
2	86	4	3	95
2	86	4	0	92
3	85	3	2	93
2	89	4	1	96
2	90	4	3	99
3	87	3	0	93
2	86	3	2	93
2	86	3	2	93
2	87	4	2	95
2	90	4	2	98
2	89	3	2	96
2	85	4	1	92
2	86	3	2	93
2	89	3	2	96
2	91	4	2	99
2	91	4	4	101
2	89	3	2	96
2	86	4	1	93
5	90	4	1	100
2	90	3	2	97
2	89	4	2	97
3	91	3	2	99
3	89	4	2	98
2	89	3	3	97
3	88	4	2	97
2	87	4	1	94
2	86	5	1	94
2	89	3	2	96
2	88	4	2	96
2	86	4	2	94
2	86	4	1	93
2	86	4	2	94
3	87	3	2	95
3	87	4	2	96
2	89	3	2	96
2	88	3	2	95
2	85	4	1	92
2	87	4	1	94
3	91	3	2	99
2	86	4	2	94
2	88	3	2	95
3	85	4	2	94
2	87	4	2	95
2	89	4	1	96
2	88	3	2	95
2	96	3	2	103
2	87	3	2	94
2	89	3	0	94
2	90	4	2	98
2	86	7	4	99
2	87	3	0	92
2	90	4	0	96
2	91	4	4	101
4	92	6	1	103
2	90	5	2	99
2	89	3	3	97
1	92	5	0	98
2	91	4	2	99
3	90	5	2	100
3	87	4	1	95
2	89	4	2	97
2	88	5	3	98
2	87	6	0	95
2	88	6	4	100
2	89	4	0	95
2	87	5	0	94
2	87	4	2	95
3	87	5	1	96
2	87	5	1	95
2	87	5	1	95
2	88	5	1	96
3	89	5	1	98
3	94	5	2	104
2	89	5	1	97
2	91	6	2	101
2	89	5	1	97
2	88	4	2	96
2	87	5	3	97
2	89	4	2	97
3	92	5	1	101
2	87	4	2	95
2	89	4	2	97
2	89	5	2	98
2	88	4	2	96
2	92	5	1	100
2	90	4	2	98
2	90	5	2	99
2	88	4	2	96
2	88	5	2	97
3	89	6	2	100
2	87	4	1	94
2	88	4	2	96
2	88	4	2	96
3	88	4	2	97
2	87	5	2	96
2	88	6	2	98
2	88	6	1	97
2	89	5	1	97
2	91	5	1	99
1	88	5	1	95
2	86	6	1	95
2	91	6	1	100
2	88	6	2	98
2	88	8	1	99
2	89	5	2	98
2	89	4	2	97
2	88	7	1	98
2	89	7	2	100
2	92	5	1	100
2	92	5	2	101
3	89	7	2	101
3	92	4	2	101
2	88	6	1	97
2	88	5	2	97
2	92	4	2	100
2	88	6	1	97
2	89	5	2	98
2	87	5	2	96
2	89	5	2	98
2	90	5	2	99
2	87	4	3	96
2	86	4	0	92
2	87	3	0	92
2	86	1	0	89
2	90	3	4	99
2	89	4	1	96
2	88	5	1	96
2	89	6	2	99
2	88	4	1	95
3	87	3	0	93
2	87	5	2	96
2	89	4	0	95
2	87	5	1	95
2	87	4	0	93
2	85	4	3	94
3	88	4	0	95
2	86	2	4	94
2	87	2	0	91
3	90	6	3	102
2	86	3	0	91
2	87	5	3	97
2	88	3	0	93
2	85	4	4	95
2	87	4	0	93
2	86	3	2	93
2	86	5	3	96
2	85	3	0	90
3	87	3	2	95
2	89	5	3	99
2	88	4	0	94
2	89	5	2	98
2	92	3	2	99
2	90	5	2	99
2	91	4	3	100
2	88	5	0	95
2	86	4	3	95
2	90	4	0	96
2	89	5	4	100
2	90	4	0	96
1	90	6	3	100
3	90	5	0	98
2	90	4	3	99
2	90	5	0	97
2	90	5	3	100
2	89	4	0	95
2	86	4	4	96
3	87	6	0	96
3	91	6	3	103
2	87	4	0	93
3	88	5	2	98
2	88	4	2	96
3	87	6	3	99
2	88	5	0	95
2	86	6	0	94
2	86	4	2	94
2	88	5	0	95
2	89	6	1	98
2	86	4	4	96
3	87	4	0	94
1	90	5	3	99
2	86	5	0	93
2	88	6	3	99
2	90	6	0	98
4	90	6	4	104
2	90	5	0	97
2	87	6	2	97
2	88	5	2	97
2	89	5	1	97
3	86	6	2	97
3	83	7	2	95
4	85	6	1	96
2	86	5	0	93
2	85	5	2	94
3	85	6	2	96
3	86	7	1	97
2	87	5	0	94
3	86	6	4	99
2	84	6	0	92
2	85	7	1	95
3	93	6	2	104
2	86	5	4	97
2	89	3	0	94
2	87	5	1	95
2	92	6	3	103
2	88	6	0	96
2	86	5	2	95
2	88	6	2	98
2	98	7	3	110
2	90	6	0	98
2	91	6	2	101
2	91	7	2	102
2	90	6	4	102
2	91	5	0	98
2	88	7	3	100
2	87	5	0	94
2	94	6	4	106
2	89	6	0	97
2	87	6	2	97
2	88	4	1	95
3	87	6	2	98
